0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-0.804517,0.694456,-1.083678,-0.798812,-0.401386,-0.233713,-0.748132,-0.792141,-0.705669,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,-0.985747,0.995227,-0.278064,-0.912871,1.054093,-0.235702,0.930630,-0.819756,0.000000
0.535276,0.694456,2.084760,1.477208,-0.401386,-0.361359,1.336663,2.044514,-0.705669,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,3.596294,-0.912871,-0.948683,-0.235702,-1.074541,1.219875,2.000000
0.535276,0.694456,2.084760,1.477208,-0.401386,-0.361359,1.336663,2.044514,-0.705669,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,3.596294,-0.912871,-0.948683,-0.235702,-1.074541,1.219875,2.000000
0.535276,0.694456,2.084760,1.477208,-0.401386,-0.361359,1.336663,2.044514,-0.705669,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,3.596294,-0.912871,-0.948683,-0.235702,-1.074541,1.219875,2.000000
0.535276,0.694456,2.084760,1.477208,-0.401386,-0.361359,1.336663,2.044514,-0.705669,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,3.596294,-0.912871,-0.948683,-0.235702,-1.074541,1.219875,2.000000
0.981874,-1.439975,-1.302191,0.413822,-0.401386,0.872555,1.336663,0.669166,1.546008,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,-0.985747,0.995227,-0.278064,1.095445,-0.948683,-0.235702,0.930630,-0.819756,1.000000
0.981874,-1.439975,-1.302191,0.413822,-0.401386,0.872555,1.336663,0.669166,1.546008,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,-0.985747,0.995227,-0.278064,1.095445,-0.948683,-0.235702,0.930630,-0.819756,1.000000
0.311977,0.694456,0.992195,0.544413,-0.401386,-1.552725,1.336663,-0.362345,0.420169,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,1.095445,-0.948683,4.242641,-1.074541,-0.819756,1.000000
0.311977,0.694456,0.992195,0.544413,-0.401386,-1.552725,1.336663,-0.362345,0.420169,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,1.095445,-0.948683,4.242641,-1.074541,-0.819756,1.000000
-0.692867,0.694456,-1.192934,-0.332414,-0.401386,0.830006,-0.748132,-0.018508,-0.705669,-0.995227,2.351861,-0.612372,-0.287926,-0.069338,-0.985747,0.995227,3.596294,-0.912871,-0.948683,-0.235702,-1.074541,1.219875,1.000000
-0.692867,0.694456,-1.192934,-0.332414,-0.401386,0.830006,-0.748132,-0.018508,-0.705669,-0.995227,2.351861,-0.612372,-0.287926,-0.069338,-0.985747,0.995227,3.596294,-0.912871,-0.948683,-0.235702,-1.074541,1.219875,1.000000
-0.692867,0.694456,-1.192934,-0.332414,-0.401386,0.830006,-0.748132,-0.018508,-0.705669,-0.995227,2.351861,-0.612372,-0.287926,-0.069338,-0.985747,0.995227,3.596294,-0.912871,-0.948683,-0.235702,-1.074541,1.219875,1.000000
1.205173,0.694456,0.172772,0.133983,-0.401386,-0.914493,-0.748132,1.528759,0.420169,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,1.095445,-0.948683,-0.235702,-1.074541,1.219875,2.000000
1.205173,0.694456,0.172772,0.133983,-0.401386,-0.914493,-0.748132,1.528759,0.420169,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,1.095445,-0.948683,-0.235702,-1.074541,1.219875,2.000000
1.205173,0.694456,0.172772,0.133983,-0.401386,-0.914493,-0.748132,1.528759,0.420169,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,1.095445,-0.948683,-0.235702,-1.074541,1.219875,2.000000
1.205173,0.694456,0.172772,0.133983,-0.401386,-0.914493,-0.748132,1.528759,0.420169,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,1.095445,-0.948683,-0.235702,-1.074541,1.219875,2.000000
0.758575,0.694456,0.445913,-0.742844,-0.401386,-0.446457,1.336663,0.755125,0.420169,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,-0.912871,1.054093,-0.235702,-1.074541,1.219875,1.000000
0.758575,0.694456,0.445913,-0.742844,-0.401386,-0.446457,1.336663,0.755125,0.420169,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,-0.912871,1.054093,-0.235702,-1.074541,1.219875,1.000000
0.758575,0.694456,0.445913,-0.742844,-0.401386,-0.446457,1.336663,0.755125,0.420169,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,-0.912871,1.054093,-0.235702,-1.074541,1.219875,1.000000
1.316822,0.694456,1.538478,-0.351070,-0.401386,-0.446457,-0.748132,1.098962,-0.705669,1.004796,-0.425195,-0.612372,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,-0.912871,1.054093,4.242641,-1.074541,-0.819756,0.000000
-0.022971,0.694456,0.992195,-0.276447,-0.401386,0.702360,-0.748132,0.497248,-0.705669,-0.995227,-0.425195,1.632993,-0.287926,-0.069338,1.014459,-1.004796,-0.278064,-0.912871,1.054093,-0.235702,-1.074541,1.219875,0.000000
