0,1,2
-1.087960,-1.134755,0.000000
1.459987,-0.795071,1.000000
1.459987,-0.795071,1.000000
1.459987,-0.795071,1.000000
-0.287520,0.264365,2.000000
-0.287520,0.264365,2.000000
-0.287520,0.264365,2.000000
-0.287520,0.264365,2.000000
-0.287520,0.264365,2.000000
-0.996085,-0.551414,0.000000
5.725368,-0.558727,0.000000
0.792452,-0.797494,2.000000
0.792452,-0.797494,2.000000
0.792452,-0.797494,2.000000
0.792452,-0.797494,2.000000
0.792452,-0.797494,2.000000
-1.274974,-1.145084,0.000000
0.055168,0.275821,1.000000
0.055168,0.275821,1.000000
0.055168,0.275821,1.000000
0.055168,0.275821,1.000000
-0.109748,-1.219403,0.000000
0.448147,0.372410,0.000000
-0.825879,0.839202,3.000000
-0.825879,0.839202,3.000000
-0.825879,0.839202,3.000000
-0.825879,0.839202,3.000000
-0.913316,0.981862,0.000000
0.755541,0.831451,3.000000
0.755541,0.831451,3.000000
0.755541,0.831451,3.000000
0.755541,0.831451,3.000000
0.021187,0.407948,1.000000
0.021187,0.407948,1.000000
0.021187,0.407948,1.000000
0.072627,-0.463562,3.000000
0.072627,-0.463562,3.000000
0.072627,-0.463562,3.000000
0.072627,-0.463562,3.000000
0.516289,-0.788962,0.000000
-1.850323,1.170584,0.000000
-0.875534,-1.011321,0.000000
-0.668874,0.158257,1.000000
-0.668874,0.158257,1.000000
-0.668874,0.158257,1.000000
-1.054287,-0.479742,0.000000
-0.074438,2.265180,3.000000
-0.074438,2.265180,3.000000
-0.074438,2.265180,3.000000
-0.074438,2.265180,3.000000
0.488171,0.008498,0.000000
-0.289570,-0.409015,0.000000
0.489509,0.189125,3.000000
0.489509,0.189125,3.000000
0.489509,0.189125,3.000000
0.489509,0.189125,3.000000
-0.766597,0.479329,0.000000
0.998089,0.254154,2.000000
0.998089,0.254154,2.000000
0.998089,0.254154,2.000000
0.998089,0.254154,2.000000
0.998089,0.254154,2.000000
0.560888,-0.442621,1.000000
0.560888,-0.442621,1.000000
0.560888,-0.442621,1.000000
0.042102,-1.267418,0.000000
1.055513,0.199857,1.000000
1.055513,0.199857,1.000000
1.055513,0.199857,1.000000
1.055513,0.199857,1.000000
0.618018,-0.455690,0.000000
-1.546279,1.364141,3.000000
-1.546279,1.364141,3.000000
-1.546279,1.364141,3.000000
-1.546279,1.364141,3.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
0.743698,1.129362,4.000000
-0.412546,-0.835164,1.000000
-0.412546,-0.835164,1.000000
-0.412546,-0.835164,1.000000
-0.310410,-0.550218,1.000000
-0.310410,-0.550218,1.000000
-0.310410,-0.550218,1.000000
-0.310410,-0.550218,1.000000
2.039642,0.024800,0.000000
-0.592422,0.270461,3.000000
-0.592422,0.270461,3.000000
-0.592422,0.270461,3.000000
-0.592422,0.270461,3.000000
-0.336401,0.052683,0.000000
-2.250996,-0.816707,0.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
0.993550,-0.375887,4.000000
-0.856773,-0.994263,0.000000
-0.219185,0.314798,2.000000
-0.219185,0.314798,2.000000
-0.219185,0.314798,2.000000
-0.219185,0.314798,2.000000
-0.219185,0.314798,2.000000
0.690241,-0.407399,0.000000
-1.334133,-0.417499,0.000000
-0.316724,-0.577605,0.000000
0.562607,1.938561,3.000000
0.562607,1.938561,3.000000
0.562607,1.938561,3.000000
0.562607,1.938561,3.000000
0.530105,0.012200,0.000000
-0.461470,-0.884431,0.000000
1.532446,0.198105,2.000000
1.532446,0.198105,2.000000
1.532446,0.198105,2.000000
1.532446,0.198105,2.000000
1.532446,0.198105,2.000000
