Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64
0.15775,0.56118,0.23935,1.4473,6.3998,-0.1483,0.19660999999999998,0.66686,0.9143399999999999,0.37423,0.19660999999999998,0.36741,0.093945,0.19660999999999998,822.92,0.44354,1.7819999999999998,0.19660999999999998,0.074206,26.005,1.0138,0.25432,0.059539,-0.095759,0.37423,0.3743,0.8776799999999999,1.0612,4.1298,0.20619,0.074206,67.403,5.4152,0.4532,0.25432,3.2030000000000003,22.468000000000004,0.4003,0.09598999999999999,0.027813,0.060171,0.09598999999999999,104.64,78.63600000000001,0.83567,1.0945,23.778000000000002,0.20203,0.076251,1.3801,0.5351100000000001,0.18467,1.6593,1.7749,3227.2,-0.093686,0.42153,1.0937,0.069659,14.036,4.6416,73.718,4.9513,11.747
0.067275,0.47435,0.10739000000000001,1.2771,3863.3,0.0,0.067275,1.1081,1.5463,0.52565,0.12911,0.17357999999999998,0.097273,0.067275,1151.1,0.3171,2.1081,0.067275,0.043506,57.88399999999999,0.96215,0.12842,0.043506,0.12949000000000002,0.51617,0.3171,2.0769,0.21263,3.8013,0.29928,0.048826999999999995,89.755,4.0732,3.3281,-0.029789,1.5463,2.878,0.61242,-0.019264,0.042912,0.074739,0.08304600000000001,112.91,55.023,0.27434000000000003,0.64436,56.698,0.045275,0.029279000000000003,1.0435,0.38758000000000004,0.24550999999999998,1.0408,1.2126,679.59,-0.019264,0.12797999999999998,1.0609,0.16508,6.3058,6.6336,91.484,3.9898,3.0618
0.0035659999999999997,0.35772,0.16468,1.4998,-54.159,0.02246,0.006823999999999999,1.7890000000000001,1.0407,0.6399600000000001,0.006823999999999999,0.020709,0.033283999999999994,0.006823999999999999,2991.9,0.122,2.7955,0.006823999999999999,0.005204,96.14299999999999,1.0851,0.025814,0.0027199999999999998,0.042652999999999996,0.6399600000000001,0.11289,0.20488,0.32558000000000004,5.0235,0.24914,0.005204,95.458,3.8237,0.072162,0.025814,1.3211,5.2757,0.6681699999999999,0.019688,0.10432999999999999,0.18778,0.019688,128.0,31.86,0.010324,0.45166000000000006,100.05,-0.011003,-0.008392,1.3815,0.32950999999999997,0.26153000000000004,1.2652,1.321,17385.0,0.039068,0.005572,0.96093,0.044081,3.7964,11.456,91.729,3.9791,2.5922
0.034365,0.73153,0.095587,1.1331,-69.445,0.053690999999999996,0.045297000000000004,0.2629,1.0428,0.19232,0.045297000000000004,0.063057,0.027377999999999996,0.045297000000000004,4549.1,0.080235,1.367,0.045297000000000004,0.021129,75.42699999999999,1.3806,0.053065999999999995,0.016030000000000003,0.06750700000000001,0.19232,0.065292,0.25813,0.51371,4.9491,0.33881,0.021129,127.54,2.8619,0.072541,0.053065999999999995,2.2157,28.111,0.20551999999999998,0.024753,0.071995,0.36186,0.024753,129.77,54.343,0.07757,0.5163399999999999,78.657,0.039668,0.018503,1.1126,0.71834,0.34942,1.0336,1.1045,8501.4,0.041066000000000005,0.17869000000000002,0.95893,0.068604,4.8391,6.7166,122.3,2.9845,11.522
0.16810999999999998,0.45248,0.30577,3.9345,154.32,-8.499999999999999e-05,0.21118,1.21,0.9178,0.54752,0.22981999999999997,2.0267,0.32172,0.21118,559.32,0.65258,2.21,0.21118,0.23009000000000002,7.2996,1.1032,0.22912,0.18316,0.40159,0.43338000000000004,0.5573899999999999,12.290999999999999,0.5182100000000001,3.7565,0.39552,0.2504,52.791000000000004,6.9141,1.5922,0.19738,0.9178,1.1684,0.8826799999999999,0.21506,0.99911,0.048152999999999994,0.24964,121.64,114.34,9.1586,3.7583,9.2996,0.14502,0.15800999999999998,0.9060299999999999,0.1042,0.14463,0.92794,1.496,1745.3,0.21506,0.30703,0.78452,0.61214,50.001999999999995,3.1923,41.438,8.8084,1.5555
0.033729,0.50325,-0.072511,0.8449700000000001,-35.018,0.084368,0.042497,0.67314,1.0244,0.33876,0.042497,0.09085700000000001,0.053491,0.042497,2186.6,0.16693,1.9871,0.042497,0.02706,12.679,1.0707,0.050992,0.021478,0.098636,0.33876,0.1495,0.33261,-0.1199,4.8459,0.31301999999999996,0.02706,111.36,3.2777,0.10132999999999999,0.050992,1.6029,9.5925,0.37427,0.03247,0.06348,0.17887,0.03247,84.956,72.27600000000001,0.61827,0.72834,12.988,0.009484000000000001,0.006039,0.7853399999999999,0.46773000000000003,0.30509000000000003,0.56013,0.61885,-5085.7,0.023776,0.09956799999999999,0.9762200000000001,0.10484,28.787,5.0501,108.71,3.3576,2.5967
0.22949,0.1626,0.50361,4.1519,118.51,0.54396,0.28424,4.9118,1.2565,0.79865,0.28424,1.7790000000000001,0.28839000000000004,0.28424,171.84,2.1241,6.1502,0.28424,0.23734,63.618,1.5669,0.30025,0.19163,0.67281,0.79865,1.7874,3.1501,1.4961,4.5283,-0.12465,0.23734,61.185,5.9655,1.8466,0.30025,1.2692,161.31,0.80147,0.25071,1.9597,0.014792,0.25071,106.76,43.138000000000005,1.0994,2.8455,79.933,0.23911999999999997,0.19966,4.08,0.15978,0.16763,2.3726,2.381,16999.0,0.20410999999999999,0.28735,0.79589,0.003529,5.7374,8.4612,48.696000000000005,7.4954,3.5579
0.066388,0.8370700000000001,0.21713000000000002,1.9729,6.4716,-0.018765,0.066777,0.19465,1.0052,0.16293,0.10787999999999999,0.2992,0.09547699999999999,0.066777,3183.4,0.11465999999999998,1.1946,0.066777,0.06642999999999999,70.462,1.4272,0.057074,0.06604299999999999,0.049017000000000005,0.047623,0.11419000000000001,1.3886,0.38795999999999997,4.0118,0.8166,0.10732,86.016,4.2434,1.1314,0.058164,1.0052,0.40116,0.77682,0.057862000000000004,0.10206,0.32342,0.056777,151.61,81.149,0.34210999999999997,1.1034,74.789,0.027875,0.02773,0.52603,0.22318000000000002,0.23565999999999998,0.29112,1.3880000000000001,2230.9,0.057862000000000004,0.40745,0.9367700000000001,3.7677,5.1801,4.4979,81.039,4.504,1.7961
0.075638,0.40351,0.006306,1.0314,-28.666,0.0,0.08657999999999999,1.4782,1.0742,0.59649,0.11454,0.43067,0.13859000000000002,0.08657999999999999,989.29,0.36895,2.4782,0.08657999999999999,0.080598,24.322,1.137,0.11454,0.070412,-0.017587000000000002,0.45257,0.34183,4.0969999999999995,0.007955,3.0392,0.36249000000000003,0.098588,76.461,4.7737,2.3783,0.11454,1.0742,0.67051,0.79896,0.10662,0.10101,0.076063,0.10662,63.552,39.23,1.0567,0.6753100000000001,27.225,0.052239999999999995,0.04863,0.51384,0.20104,0.20948000000000003,0.75252,1.008,6.901,0.10662,0.12680999999999998,0.9194,0.33945,15.007,9.3041,68.309,5.3434,1.3552
0.20501,0.529,0.19602,1.5841,-1.0058,0.0,0.2512,0.89036,1.9705,0.47100000000000003,0.26085,0.74849,0.13312000000000002,0.2512,736.1,0.49585,1.8904,0.2512,0.12747999999999998,0.82632,1.0958,0.25601,0.10404000000000001,0.5478,0.44273999999999997,0.40854,26.534000000000002,0.41853,3.8498,0.26847,0.13235,71.767,5.0859,3.2266,0.26356999999999997,1.9705,2.7260000000000004,0.6643899999999999,0.13376,0.58491,0.066014,0.12992,62.11600000000001,61.29,45.958,1.5708,0.9539200000000001,0.2449,0.12429000000000001,1.005,0.33560999999999996,0.19662000000000002,1.0056,1.4185,1387.3,0.13376,0.43527,0.87515,0.41058999999999996,441.71,5.9553,62.167,5.8712,4.2071
